ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-05,35.000024017684,34.99878583640727,35.00138268494242,35.000024017684,35.000024017684,-2.265965588876041e-05,-2.265965588876041e-05,-2.265965588876041e-05,-2.265965588876041e-05,-2.265965588876041e-05,-2.265965588876041e-05,0.0,0.0,0.0,35.00000135802811
2020-02-06,36.000001763194,35.998658483344826,36.0013828535174,36.000001763194,36.000001763194,-5.301048555034908e-06,-5.301048555034908e-06,-5.301048555034908e-06,-5.301048555034908e-06,-5.301048555034908e-06,-5.301048555034908e-06,0.0,0.0,0.0,35.99999646214545
2020-02-07,36.999979508704,36.9987361162207,37.001367096896765,36.999979508704,36.999979508704,1.610084249361764e-05,1.610084249361764e-05,1.610084249361764e-05,1.610084249361764e-05,1.610084249361764e-05,1.610084249361764e-05,0.0,0.0,0.0,36.999995609546495
2020-02-08,37.999957254213996,37.99867641137126,38.00129999737296,37.999957254213996,37.999957254213996,2.344813571735846e-05,2.344813571735846e-05,2.344813571735846e-05,2.344813571735846e-05,2.344813571735846e-05,2.344813571735846e-05,0.0,0.0,0.0,37.99998070234971
2020-02-09,38.999967868523996,38.998636098940025,39.001366796300054,38.999967868523996,38.999967868523996,1.2960432586763581e-05,1.2960432586763581e-05,1.2960432586763581e-05,1.2960432586763581e-05,1.2960432586763581e-05,1.2960432586763581e-05,0.0,0.0,0.0,38.99998082895658
2020-02-10,39.999978482834,39.99867179758756,40.00127078714991,39.999978482834,39.999978482834,-3.6439915499457905e-06,-3.6439915499457905e-06,-3.6439915499457905e-06,-3.6439915499457905e-06,-3.6439915499457905e-06,-3.6439915499457905e-06,0.0,0.0,0.0,39.999974838842455
2020-02-11,40.999989097143995,40.9986512344238,41.001266535223884,40.999989097143995,40.999989097143995,-2.090471480400645e-05,-2.090471480400645e-05,-2.090471480400645e-05,-2.090471480400645e-05,-2.090471480400645e-05,-2.090471480400645e-05,0.0,0.0,0.0,40.99996819242919
2020-02-12,41.999978062654,41.99859887358628,42.0012441949665,41.999978062654,41.999978062654,-2.26596558887517e-05,-2.26596558887517e-05,-2.26596558887517e-05,-2.26596558887517e-05,-2.26596558887517e-05,-2.26596558887517e-05,0.0,0.0,0.0,41.99995540299811
2020-02-13,42.999967028164,42.998621342817934,43.00123317696581,42.999967028164,42.999967028164,-5.301048555020251e-06,-5.301048555020251e-06,-5.301048555020251e-06,-5.301048555020251e-06,-5.301048555020251e-06,-5.301048555020251e-06,0.0,0.0,0.0,42.99996172711545
2020-02-14,43.99995599367399,43.998646150313135,44.00137647053249,43.99995599367399,43.99995599367399,1.6100842493628818e-05,1.6100842493628818e-05,1.6100842493628818e-05,1.6100842493628818e-05,1.6100842493628818e-05,1.6100842493628818e-05,0.0,0.0,0.0,43.99997209451649
2020-02-15,44.99996219968399,44.99863207902265,45.00131728160841,44.99996219968399,44.99996219968399,2.344813571735498e-05,2.344813571735498e-05,2.344813571735498e-05,2.344813571735498e-05,2.344813571735498e-05,2.344813571735498e-05,0.0,0.0,0.0,44.999985647819706
2020-02-16,45.999968405694,45.99862170596307,46.00127660579895,45.999968405694,45.999968405694,1.2960432586752972e-05,1.2960432586752972e-05,1.2960432586752972e-05,1.2960432586752972e-05,1.2960432586752972e-05,1.2960432586752972e-05,0.0,0.0,0.0,45.99998136612658
